state,resorts_per_state,state_mean_skiable_area_ac,state_mean_days_open,state_mean_terrain_parks,state_mean_nightskiing_ac,state_population,state_area_sq_miles
Alaska,3,760.0,115.0,1.3,290.0,731545,665384
Arizona,2,788.5,118.5,3.0,80.0,7278717,113990
California,21,1235.6,152.1,4.3,146.8,39512223,163695
Colorado,22,1985.5,148.1,3.7,107.0,5758736,104094
Connecticut,5,71.6,88.2,2.5,51.2,3565278,5543
Idaho,12,1366.3,113.6,2.7,83.0,1787065,83569
Illinois,4,47.8,73.7,1.5,47.8,12671821,57914
Indiana,2,82.5,78.5,2.0,82.5,6732219,36420
Iowa,3,46.7,100.0,1.7,46.7,3155070,56273
Maine,9,402.0,108.1,2.8,77.6,1344212,35380
Maryland,1,172.0,121.0,3.0,118.0,6045680,12406
Massachusetts,11,106.0,111.8,1.6,72.9,6892503,10554
Michigan,28,157.4,103.9,2.7,84.6,9986857,96714
Minnesota,14,111.4,106.4,2.6,78.5,5639632,86936
Missouri,2,30.0,69.0,2.0,23.5,6137428,69707
Montana,12,1784.2,105.7,3.0,236.7,1068778,147040
Nevada,4,527.5,103.8,3.0,,3080156,110572
New Hampshire,16,214.2,123.1,3.1,62.7,1359711,9349
New Jersey,2,95.0,85.0,2.0,90.5,8882190,8723
New Mexico,9,580.3,107.3,2.2,50.0,2096829,121590
New York,33,167.1,108.4,2.9,113.4,19453561,54555
North Carolina,6,61.7,101.2,1.5,55.8,10488084,53819
Ohio,5,84.2,97.8,2.4,84.2,11689100,44826
Oregon,10,1177.4,118.0,3.7,187.8,4217737,98379
Pennsylvania,19,104.9,93.6,2.6,89.9,12801989,46054
Rhode Island,1,30.0,100.0,1.0,30.0,1059361,1545
South Dakota,2,475.0,91.5,1.5,,884659,77116
Tennessee,1,,83.0,1.0,,6829174,42144
Utah,13,2346.8,140.4,2.6,160.5,3205958,84897
Vermont,15,482.6,136.7,4.2,50.0,623989,9616
Virginia,4,67.2,91.5,2.0,45.0,8535519,42775
Washington,10,1533.0,113.6,2.6,285.3,7614893,71298
West Virginia,4,135.5,114.0,2.2,62.3,1792147,24230
Wisconsin,15,116.7,101.3,2.9,81.9,5822434,65496
Wyoming,8,815.4,119.3,2.0,110.0,578759,97813
